NOM_LOC;NOM_MUN;POBFEM;POBMAS;LONGITUD;LATITUD
Campo Grande;Acatlán de Pérez Figueroa;*;*;" 96°40'32.212"" W";"18°28'26.916"" N"
Rancho Pavón;Acatlán de Pérez Figueroa;4;2;" 96°29'02.575"" W";"18°30'37.831"" N"
Rancho Tetela (Parada los Mangos);Acatlán de Pérez Figueroa;*;*;" 96°28'12.142"" W";"18°29'53.971"" N"
Esperanza Madero;Acatlán de Pérez Figueroa;62;57;" 96°35'17.170"" W";"18°22'06.895"" N"
San Antonio;Acatlán de Pérez Figueroa;*;*;" 96°31'43.788"" W";"18°25'07.334"" N"
Los Cañas (Tres Potencias);Acatlán de Pérez Figueroa;13;11;" 96°36'01.888"" W";"18°25'09.121"" N"
Garza Blanca;Acatlán de Pérez Figueroa;9;8;" 96°37'39.884"" W";"18°22'35.537"" N"
La Gloria;Acatlán de Pérez Figueroa;*;*;" 96°29'24.319"" W";"18°27'10.692"" N"
La Guadalupe;Acatlán de Pérez Figueroa;77;80;" 96°38'45.473"" W";"18°23'19.780"" N"
Julián González Soriano;Acatlán de Pérez Figueroa;5;5;" 96°36'54.869"" W";"18°25'08.105"" N"
Santa Cruz;Acatlán de Pérez Figueroa;104;88;" 96°39'16.039"" W";"18°28'30.147"" N"
Los Trapiches;Acatlán de Pérez Figueroa;*;*;" 96°35'47.518"" W";"18°32'30.946"" N"
El Nacimiento;Acatlán de Pérez Figueroa;26;16;" 96°37'24.884"" W";"18°33'43.311"" N"
Rancho Hernández;Acatlán de Pérez Figueroa;3;4;" 96°32'17.034"" W";"18°30'48.179"" N"
Los Huertos [Fraccionamiento];Acatlán de Pérez Figueroa;115;110;" 96°32'44.672"" W";"18°30'05.689"" N"
Desviación a la Palma;Acatlán de Pérez Figueroa;*;*;" 96°27'56.232"" W";"18°29'55.128"" N"
Los Torres;Acatlán de Pérez Figueroa;*;*;" 96°27'48.406"" W";"18°28'03.797"" N"
Rancho Arco;Acatlán de Pérez Figueroa;*;*;" 96°38'02.792"" W";"18°22'25.301"" N"
Rancho de los Martínez (Rancho Escondido);Acatlán de Pérez Figueroa;*;*;" 96°30'51.193"" W";"18°24'46.214"" N"
Los Caracoles;Acatlán de Pérez Figueroa;3;3;" 96°38'27.885"" W";"18°32'20.588"" N"
La Magdalena;Acatlán de Pérez Figueroa;*;*;" 96°28'38.278"" W";"18°29'47.161"" N"
Palma Cuata;Acatlán de Pérez Figueroa;51;54;" 96°37'15.956"" W";"18°21'45.781"" N"
Paso Limón;Acatlán de Pérez Figueroa;*;*;" 96°30'26.357"" W";"18°32'55.696"" N"
La Loma [Rancho];Acatlán de Pérez Figueroa;*;*;" 96°29'02.352"" W";"18°30'07.163"" N"
Los Lara [Rancho];Acatlán de Pérez Figueroa;15;12;" 96°32'06.894"" W";"18°29'50.275"" N"
Rancho Matías Virgen Virgen;Acatlán de Pérez Figueroa;*;*;" 96°36'07.454"" W";"18°31'39.908"" N"
Santa Teresita;Acatlán de Pérez Figueroa;*;*;" 96°27'02.296"" W";"18°30'33.151"" N"
Santo Domingo;Acatlán de Pérez Figueroa;*;*;" 96°25'35.884"" W";"18°30'35.256"" N"
Los Benitos [Rancho];Acatlán de Pérez Figueroa;10;5;" 96°29'32.202"" W";"18°26'34.957"" N"
Los Huerta [Rancho];Acatlán de Pérez Figueroa;*;*;" 96°30'31.930"" W";"18°24'40.454"" N"
El Borrego;Acatlán de Pérez Figueroa;8;8;" 96°37'20.777"" W";"18°25'51.374"" N"
Rancho Escondido (Rancho de los Martínez);Acatlán de Pérez Figueroa;*;*;" 96°26'19.917"" W";"18°31'41.769"" N"
El Mangal (La Raya) [Rancho];Acatlán de Pérez Figueroa;*;*;" 96°22'22.229"" W";"18°23'14.275"" N"
El Limonal [Rancho];Acatlán de Pérez Figueroa;*;*;" 96°38'39.854"" W";"18°34'04.374"" N"
Los Osorio (Parcela los Osorio) [Rancho};Acatlán de Pérez Figueroa;4;5;" 96°22'58.834"" W";"18°24'24.998"" N"
La Cotorrita;Acatlán de Pérez Figueroa;6;5;" 96°37'14.872"" W";"18°31'31.358"" N"
Localidades de una vivienda;Acatlán de Pérez Figueroa;43;32;*;*
Localidades de dos viviendas;Acatlán de Pérez Figueroa;64;67;*;*
Total del Municipio;Asunción Cacalotepec;1318;1229;*;*
Asunción Cacalotepec;Asunción Cacalotepec;425;360;" 95°57'23.622"" W";"17°02'06.951"" N"
Cerro Moneda;Asunción Cacalotepec;268;274;" 95°55'10.506"" W";"17°00'44.169"" N"
San Antonio Tlaxcaltepec;Asunción Cacalotepec;185;173;" 95°55'37.422"" W";"17°04'10.549"" N"
Santa Cruz Aguatlán;Asunción Cacalotepec;92;79;" 95°54'41.661"" W";"17°03'30.508"" N"
Casa Grande;Asunción Cacalotepec;69;69;" 95°53'57.343"" W";"17°03'20.037"" N"
Orilla de Llano;Asunción Cacalotepec;55;53;" 95°56'45.366"" W";"17°00'33.384"" N"
Campo México;Asunción Cacalotepec;54;55;" 95°56'00.961"" W";"17°01'09.995"" N"
Zompantle;Asunción Cacalotepec;127;127;" 95°54'08.956"" W";"17°00'58.241"" N"
Piedra Colorada;Asunción Cacalotepec;7;5;" 95°55'19.762"" W";"17°03'17.044"" N"
Camino al Albergue;Asunción Cacalotepec;24;19;" 95°56'58.794"" W";"17°02'25.125"" N"
Tsakuxeeny (Piedra de Dos Puntas);Asunción Cacalotepec;7;6;" 95°56'51.310"" W";"17°02'32.529"" N"
Pukëpäjkm (Barrio Verde);Asunción Cacalotepec;5;9;" 95°58'04.929"" W";"17°01'58.052"" N"
Total del Municipio;Asunción Cuyotepeji;584;523;*;*
Asunción Cuyotepeji;Asunción Cuyotepeji;539;491;" 97°40'27.669"" W";"17°55'51.242"" N"
El Solano;Asunción Cuyotepeji;*;*;" 97°41'36.521"" W";"17°54'38.230"" N"
Barrio Santa Cruz;Asunción Cuyotepeji;32;22;" 97°40'35.483"" W";"17°56'11.844"" N"
Barrio San Antonio;Asunción Cuyotepeji;13;9;" 97°40'35.777"" W";"17°55'47.317"" N"
Localidades de una vivienda;Asunción Cuyotepeji;*;*;*;*
Total del Municipio;Asunción Ixtaltepec;7711;7550;*;*
Asunción Ixtaltepec;Asunción Ixtaltepec;3932;3684;" 95°03'25.362"" W";"16°30'13.823"" N"
Aguas Calientes la Mata;Asunción Ixtaltepec;410;460;" 94°58'30.054"" W";"16°37'05.730"" N"
La Cueva;Asunción Ixtaltepec;67;75;" 94°59'18.421"" W";"16°37'38.122"" N"
Chivela;Asunción Ixtaltepec;288;286;" 94°59'48.291"" W";"16°42'42.624"" N"
Chivixhuyo;Asunción Ixtaltepec;389;464;" 94°57'47.765"" W";"16°48'28.177"" N"
Lázaro Cárdenas;Asunción Ixtaltepec;661;616;" 94°51'40.115"" W";"16°43'31.906"" N"
Mazahua;Asunción Ixtaltepec;148;160;" 94°56'51.614"" W";"16°37'51.905"" N"
El Mezquite;Asunción Ixtaltepec;210;172;" 94°57'22.407"" W";"16°41'34.778"" N"
El Morrito;Asunción Ixtaltepec;208;209;" 94°58'47.967"" W";"16°43'32.024"" N"
Santiago Ixtaltepec;Asunción Ixtaltepec;558;531;" 94°54'30.695"" W";"16°41'04.126"" N"
Sitio de las Flores;Asunción Ixtaltepec;56;68;" 94°54'06.290"" W";"16°44'17.750"" N"
Santa Rosa;Asunción Ixtaltepec;145;118;" 94°59'45.115"" W";"16°44'35.190"" N"
Cieneguilla;Asunción Ixtaltepec;153;151;" 94°57'49.814"" W";"16°45'32.065"" N"
Rancho Faustino;Asunción Ixtaltepec;*;*;" 95°06'36.049"" W";"16°28'37.398"" N"
San Antonio [Rancho];Asunción Ixtaltepec;*;*;" 95°06'38.277"" W";"16°29'06.389"" N"
Ixtepec Segunda [Unidad Habitacional];Asunción Ixtaltepec;119;143;" 95°05'10.555"" W";"16°27'56.463"" N"
Gaña;Asunción Ixtaltepec;3;4;" 95°00'31.077"" W";"16°39'11.103"" N"
Mena;Asunción Ixtaltepec;88;109;" 95°00'41.197"" W";"16°39'34.598"" N"
Los Almendros;Asunción Ixtaltepec;*;*;" 95°04'41.672"" W";"16°27'15.277"" N"
San Germán [Rancho];Asunción Ixtaltepec;*;*;" 95°06'47.966"" W";"16°28'50.264"" N"
Toledo Nader;Asunción Ixtaltepec;*;*;" 95°06'58.888"" W";"16°29'40.213"" N"
La Deportiva [Colonia];Asunción Ixtaltepec;49;51;" 95°04'01.145"" W";"16°29'51.065"" N"
Chignahuapan (Rancho Honorio);Asunción Ixtaltepec;*;*;" 95°04'54.511"" W";"16°28'35.241"" N"
La Purísima [Rancho];Asunción Ixtaltepec;*;*;" 95°05'12.623"" W";"16°28'51.056"" N"
Rancho Vicente López Vásquez;Asunción Ixtaltepec;13;12;" 95°02'36.279"" W";"16°31'16.555"" N"
Rancho Cuatro R;Asunción Ixtaltepec;*;*;" 95°00'30.203"" W";"16°30'48.028"" N"
Santa Rita [Barrio];Asunción Ixtaltepec;6;6;" 95°03'52.483"" W";"16°30'36.889"" N"
Lupita [Rancho];Asunción Ixtaltepec;*;*;" 95°01'08.809"" W";"16°31'01.926"" N"
San Marcos;Asunción Ixtaltepec;*;*;" 95°00'49.917"" W";"16°30'47.815"" N"
Quinta Sección;Asunción Ixtaltepec;69;66;" 95°03'07.440"" W";"16°29'54.241"" N"
Tecnológico [Barrio];Asunción Ixtaltepec;28;31;" 95°08'32.134"" W";"16°29'28.667"" N"
Rancho Mauricio Toledo;Asunción Ixtaltepec;*;*;" 95°07'27.964"" W";"16°29'03.046"" N"
El Mentidero;Asunción Ixtaltepec;*;*;" 94°49'26.545"" W";"16°46'13.236"" N"
La Brecha;Asunción Ixtaltepec;12;10;" 95°09'16.618"" W";"16°29'47.593"" N"
La Santa [Rancho];Asunción Ixtaltepec;*;*;" 94°58'56.217"" W";"16°32'32.444"" N"
Hermanas Pineda [Rancho];Asunción Ixtaltepec;*;*;" 95°00'04.048"" W";"16°32'43.120"" N"
Nizashuga;Asunción Ixtaltepec;*;*;" 94°59'02.489"" W";"16°33'06.260"" N"
San Martín;Asunción Ixtaltepec;*;*;" 94°58'17.815"" W";"16°34'04.685"" N"
La Providencia [Rancho];Asunción Ixtaltepec;*;*;" 94°59'57.687"" W";"16°31'16.204"" N"
Rancho Cayetano García;Asunción Ixtaltepec;*;*;" 95°05'28.072"" W";"16°28'19.852"" N"
Santa Rita [Rancho];Asunción Ixtaltepec;*;*;" 95°05'16.491"" W";"16°29'42.796"" N"
El Ixtaltepecano [Rancho];Asunción Ixtaltepec;*;*;" 95°06'45.512"" W";"16°28'53.972"" N"
El Mezquital [Rancho];Asunción Ixtaltepec;*;*;" 95°05'26.000"" W";"16°29'25.000"" N"
Rancho Gloria;Asunción Ixtaltepec;*;*;" 95°05'03.986"" W";"16°28'35.231"" N"
Rancho Escondido;Asunción Ixtaltepec;*;*;" 95°06'45.097"" W";"16°28'34.787"" N"
San Felipe [Rancho];Asunción Ixtaltepec;*;*;" 95°05'13.010"" W";"16°29'06.898"" N"
Santuario de la Virgen de Juquila [Rancho];Asunción Ixtaltepec;*;*;" 95°00'54.880"" W";"16°30'50.185"" N"
Los Halcones [Rancho];Asunción Ixtaltepec;*;*;" 94°59'20.077"" W";"16°31'18.657"" N"
El Rosario [Rancho];Asunción Ixtaltepec;*;*;" 94°59'42.328"" W";"16°30'51.639"" N"
La Herradura;Asunción Ixtaltepec;*;*;" 94°59'02.637"" W";"16°32'57.704"" N"
Los Limones [Rancho];Asunción Ixtaltepec;*;*;" 95°00'56.647"" W";"16°31'18.907"" N"
Macario Castillejos;Asunción Ixtaltepec;*;*;" 94°58'37.019"" W";"16°32'08.981"" N"
La Pochota [Rancho];Asunción Ixtaltepec;*;*;" 95°00'03.367"" W";"16°31'36.463"" N"
San Judas Tadeo [Rancho];Asunción Ixtaltepec;*;*;" 94°58'58.130"" W";"16°32'41.324"" N"
San Jorge;Asunción Ixtaltepec;*;*;" 95°00'25.097"" W";"16°30'49.250"" N"
San Mateo [Rancho];Asunción Ixtaltepec;*;*;" 94°58'48.695"" W";"16°31'43.963"" N"
Z.E.A. [Rancho];Asunción Ixtaltepec;*;*;" 94°58'51.555"" W";"16°32'06.102"" N"
Las Guanábanas [Rancho];Asunción Ixtaltepec;*;*;" 94°59'24.570"" W";"16°30'49.843"" N"
Santa Cruz [Colonia];Asunción Ixtaltepec;46;52;" 95°04'17.270"" W";"16°31'29.940"" N"
San Isidro;Asunción Ixtaltepec;*;*;" 95°02'33.507"" W";"16°31'15.765"" N"
La Guadalupana [Rancho];Asunción Ixtaltepec;*;*;" 95°06'46.648"" W";"16°29'14.767"" N"
Mi Último Deseo [Rancho];Asunción Ixtaltepec;*;*;" 95°06'41.315"" W";"16°28'47.694"" N"
Miguel [Rancho];Asunción Ixtaltepec;*;*;" 95°07'11.147"" W";"16°28'34.929"" N"
La Gloria [Rancho];Asunción Ixtaltepec;*;*;" 95°00'02.046"" W";"16°31'16.861"" N"
El Rosario [Rancho];Asunción Ixtaltepec;*;*;" 95°00'11.168"" W";"16°30'59.897"" N"
Hermanos Cabrera [Rancho];Asunción Ixtaltepec;*;*;" 95°05'03.853"" W";"16°30'08.497"" N"
Guadalupe [Rancho];Asunción Ixtaltepec;*;*;" 95°01'33.249"" W";"16°33'42.816"" N"
Agrícola [Colonia];Asunción Ixtaltepec;*;*;" 95°02'05.247"" W";"16°30'08.009"" N"
La Princesa [Rancho];Asunción Ixtaltepec;*;*;" 95°02'36.889"" W";"16°29'45.977"" N"
Domingo Jiménez [Rancho];Asunción Ixtaltepec;*;*;" 95°02'33.604"" W";"16°30'51.978"" N"
La Peña [Rancho];Asunción Ixtaltepec;*;*;" 95°00'27.871"" W";"16°32'33.198"" N"
Virgen de Juquila [Rancho];Asunción Ixtaltepec;*;*;" 95°02'55.171"" W";"16°31'54.721"" N"
Rancho Grande;Asunción Ixtaltepec;*;*;" 95°01'46.639"" W";"16°31'23.383"" N"
Localidades de una vivienda;Asunción Ixtaltepec;46;61;*;*
Localidades de dos viviendas;Asunción Ixtaltepec;7;11;*;*
Total del Municipio;Asunción Nochixtlán;10887;9577;*;*
Asunción Nochixtlán;Asunción Nochixtlán;8463;7388;" 97°13'30.715"" W";"17°27'32.171"" N"
Santiago Amatlán;Asunción Nochixtlán;209;183;" 97°13'14.867"" W";"17°31'41.449"" N"
El Cortijo;Asunción Nochixtlán;20;17;" 97°07'30.193"" W";"17°20'17.908"" N"
Nuevo Morelos;Asunción Nochixtlán;59;48;" 97°06'45.043"" W";"17°21'13.553"" N"
San Andrés Achio (Sachío);Asunción Nochixtlán;43;37;" 97°11'32.730"" W";"17°23'27.709"" N"
San Miguel Adéquez (Adequés);Asunción Nochixtlán;46;37;" 97°08'45.010"" W";"17°27'30.920"" N"
San Pedro Quilitongo;Asunción Nochixtlán;41;41;" 97°09'41.091"" W";"17°27'54.811"" N"
Santa Catarina Adéquez (Adequés);Asunción Nochixtlán;217;194;" 97°08'40.734"" W";"17°26'04.424"" N"
Santa Cruz Río Salinas;Asunción Nochixtlán;27;18;" 97°08'45.311"" W";"17°23'18.199"" N"
Santa María Añuma;Asunción Nochixtlán;25;27;" 97°10'43.857"" W";"17°24'23.672"" N"
Santa María Tinú;Asunción Nochixtlán;85;87;" 97°07'38.981"" W";"17°22'18.503"" N"
Santiago Ixtaltepec;Asunción Nochixtlán;59;57;" 97°06'49.310"" W";"17°32'35.190"" N"
Santiago Mitlatongo;Asunción Nochixtlán;150;131;" 97°16'55.006"" W";"17°11'51.026"" N"
La Cumbre;Asunción Nochixtlán;148;121;" 97°07'10.710"" W";"17°33'33.003"" N"
Ojo de Agua Mitlatongo;Asunción Nochixtlán;154;116;" 97°16'43.519"" W";"17°13'04.474"" N"
Cantera;Asunción Nochixtlán;13;12;" 97°12'37.395"" W";"17°25'52.058"" N"
Santiago Camotlán;Asunción Nochixtlán;11;13;" 97°01'23.637"" W";"17°27'33.599"" N"
Yudanchica;Asunción Nochixtlán;12;16;" 97°08'41.320"" W";"17°21'46.009"" N"
Loma Larga;Asunción Nochixtlán;12;10;" 97°08'17.939"" W";"17°21'51.012"" N"
El Encinal;Asunción Nochixtlán;5;5;" 97°08'10.185"" W";"17°20'29.299"" N"
Reforma Asunción Nochixtlán;Asunción Nochixtlán;33;34;" 97°08'43.975"" W";"17°22'08.525"" N"
Yodonguio;Asunción Nochixtlán;83;80;" 97°12'30.306"" W";"17°26'48.905"" N"
El Zitún;Asunción Nochixtlán;*;*;" 97°15'23.152"" W";"17°28'41.842"" N"
Santiago Buena Vista (Ticúa);Asunción Nochixtlán;94;88;" 97°13'13.592"" W";"17°26'01.427"" N"
Don Toribio;Asunción Nochixtlán;4;3;" 97°11'48.453"" W";"17°27'46.354"" N"
Yotoyuco;Asunción Nochixtlán;62;43;" 97°12'22.416"" W";"17°27'18.402"" N"
Unidad Piedra de Sangre (Morelos Uno);Asunción Nochixtlán;10;12;" 97°06'12.696"" W";"17°31'49.099"" N"
La Unión Libertad Ixtaltepec;Asunción Nochixtlán;33;27;" 97°05'49.477"" W";"17°34'07.497"" N"
Tres Caminos;Asunción Nochixtlán;3;5;" 97°12'29.880"" W";"17°33'27.621"" N"
San José Anama (Anama);Asunción Nochixtlán;*;*;" 97°14'37.236"" W";"17°11'09.196"" N"
Yuyete;Asunción Nochixtlán;8;8;" 97°11'37.060"" W";"17°27'30.344"" N"
